0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
2,2296.46,-145.946
2,2296.46,-145.946
2,698.543,546.799
3,698.543,546.799
3,640.935,549.305
4,640.935,549.305
4,640.935,549.305
4,648.834,545.993
5,648.834,545.993
5,647.065,554.06
6,647.065,554.06
6,648.719,549.934
6,648.719,549.934
7,646.851,552.114
7,646.851,552.114
8,647.239,555.039
8,647.239,555.039
8,646.685,554.055
9,646.685,554.055
9,646.685,554.055
10,649.061,556.595
10,649.061,556.595
10,649.44,559.069
11,649.44,559.069
11,915.022,457.838
12,915.022,457.838
12,1080.61,407.75
12,1080.61,407.75
13,1076.64,417.069
13,1076.64,417.069
14,1076.64,417.069
14,1075.47,413.669
14,1075.47,413.669
15,1076.09,414.516
15,1076.09,414.516
16,1077.68,414.473
16,1077.68,414.473
16,1077.68,414.473
17,1092.28,411.018
17,1092.28,411.018
18,1093.94,419.082
18,1093.94,419.082
18,1093.13,424.513
19,1093.13,424.513
19,1089.31,417.127
20,1089.31,417.127
20,1090.97,420.824
20,1090.97,420.824
21,1090.97,420.824
21,1087.67,417.712
22,1087.67,417.712
22,961.013,333.84
22,961.013,333.84
23,974.114,357.134
23,974.114,357.134
24,972.869,356.957
24,972.869,356.957
24,972.869,356.957
25,972.145,355.817
25,972.145,355.817
26,972.595,359.356
26,972.595,359.356
26,972.479,363.15
27,972.479,363.15
27,975.247,360.573
28,975.247,360.573
28,977.975,358.682
28,977.975,358.682
29,977.996,359.111
29,977.996,359.111
30,977.996,359.111
30,978.598,358.991
30,978.598,358.991
31,978.529,358.87
31,978.529,358.87
32,976.182,356.819
32,976.182,356.819
32,976.182,356.819
33,973.507,354.121
33,971.728,352.872
34,971.728,352.872
34,971.728,352.872
34,970.196,351.338
35,970.196,351.338
35,967.347,349.297
36,967.347,349.297
36,966.094,347.79
36,966.094,347.79
37,966.094,347.79
37,964.178,345.646
38,964.178,345.646
38,963.011,345.185
38,963.011,345.185
39,961.036,346.655
39,961.036,346.655
40,960.559,346.887
40,960.559,346.887
40,959.945,348.533
41,959.945,348.533
41,959.712,348.671
42,959.712,348.671
42,959.712,348.671
42,960.164,346.897
43,960.164,346.897
